"CrashName","Name","Sex","Age","Speed","VehicleDamage","PartyCategory","Sobriety","VehicleDirection","MovementPrecedingCollision","PartyType","OtherAssociatedFactor","VehicleCount","ViolationCode","ViolationCodeDescription"
"CR-0000085736","ACV-0000175451","M","21","","Minor","Driver","Had Not Been Drinking","East","Making Left Turn","Car","None Apparent","1","21804","Yield From Driveway/Curb"
"CR-0000085736","ACV-0000175452","F","27","","Major","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085737","ACV-0000175453","M","37","","Major","Driver","Impairment Not Known","North","Making Left Turn","Car","Other Violation","1","21453","Run Red Light"
"CR-0000085737","ACV-0000175454","F","77","","Moderate","Driver","Impairment Not Known","South","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085738","ACV-0000175455","","0","","Moderate","Driver","Impairment Not Known","West","Making Right Turn","Car","Other Violation","1","22350","Speeding"
"CR-0000085738","ACV-0000175456","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085739","ACV-0000175457","M","73","","Major","Driver","Had Not Been Drinking","North","Making Left Turn","Car","None Apparent","1","Unknown","Unknown"
"CR-0000085739","ACV-0000175458","F","49","","Major","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085740","ACV-0000175459","M","32","","Moderate","Driver","Had Been Drinking - Under Influence","West","Proceeding Straight","Car","Unknown","1","23152","Driving Drunk"
"CR-0000085740","ACV-0000175460","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085741","ACV-0000175461","","0","","Moderate","Driver","Impairment Not Known","North","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085741","ACV-0000175462","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085742","ACV-0000175463","F","36","","Minor","Driver","Had Not Been Drinking","West","Making Left Turn","Car","None Apparent","1","Unknown","Unknown"
"CR-0000085742","ACV-0000175464","M","45","","Minor","Driver","Had Not Been Drinking","East","Making Left Turn","Car","None Apparent","1","Unknown","Unknown"
"CR-0000085743","ACV-0000175465","","0","","Unknown","Driver","Impairment Not Known","North","Ran Off Road","Car","Other Violation","1","Unknown","Unknown"
"CR-0000085743","ACV-0000175466","M","65","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085744","ACV-0000175467","","0","","Moderate","Driver","Impairment Not Known","North","Proceeding Straight","Car","Other Violation","1","21453","Run Red Light"
"CR-0000085744","ACV-0000175468","M","48","","Moderate","Driver","Had Not Been Drinking","South","Making Left Turn","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085745","ACV-0000175469","","0","","Minor","Driver","Impairment Not Known","East","Making Left Turn","Car","Other Violation","1","22101","Regulation Of Turns At Intersection"
"CR-0000085745","ACV-0000175470","M","51","","Moderate","Driver","Not Applicable","West","Proceeding Straight","Motorcycle/Moped","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085747","ACV-0000175471","M","56","","Minor","Driver","Had Not Been Drinking","West","Making Left Turn","Panel Truck","Inattention","1","21801","Yield Left Turn"
"CR-0000085747","ACV-0000175472","F","0","","Minor","Driver","Had Not Been Drinking","East","Proceeding Straight","Emergency Vehicle","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085748","ACV-0000175473","M","80","","Major","Driver","Had Not Been Drinking","East","Ran Off Road","Car","Other","1","22350","Speeding"
"CR-0000085748","ACV-0000175474","F","39","","Major","Driver","Had Not Been Drinking","West","Making Left Turn","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085749","ACV-0000175475","M","38","","Minor","Driver","Impairment Not Known","East","Proceeding Straight","Semi Truck","None Apparent","1","21453","Run Red Light"
"CR-0000085749","ACV-0000175476","M","32","","Moderate","Driver","Impairment Not Known","North","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085750","ACV-0000175477","M","25","","Major","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Inattention","1","21453","Run Red Light"
"CR-0000085750","ACV-0000175478","F","41","","Major","Driver","Had Not Been Drinking","North","Making Left Turn","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085750","ACV-0000175479","M","58","","Moderate","Driver","Had Not Been Drinking","South","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085751","ACV-0000175480","M","34","","Major","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","22350","Speeding"
"CR-0000085751","ACV-0000175481","M","35","","Major","Driver","Had Not Been Drinking","South","Proceeding Straight","Other","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085752","ACV-0000175482","M","57","","Minor","Driver","Had Not Been Drinking","West","Proceeding Straight","Panel Truck","None Apparent","1","22350","Speeding"
"CR-0000085752","ACV-0000175483","F","29","","Minor","Driver","Had Not Been Drinking","West","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085753","ACV-0000175484","M","24","","Major","Driver","Impairment Not Known","South","Making Right Turn","Car","Speeding","1","22107","Unsafe Turn Movement"
"CR-0000085753","ACV-0000175485","M","38","","Moderate","Driver","Impairment Not Known","West","Proceeding Straight","Car","Speeding","1","Not Applicable","Not Applicable"
"CR-0000085754","ACV-0000175486","M","26","","Major","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000085754","ACV-0000175487","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085755","ACV-0000175488","M","30","","Major","Driver","Had Been Drinking - Under Influence","North","Proceeding Straight","Panel Truck","Under Influence","1","22350","Speeding"
"CR-0000085755","ACV-0000175489","M","47","","Major","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085755","ACV-0000175490","M","23","","Moderate","Driver","Not Applicable","North","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085755","ACV-0000175491","F","42","","Major","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085756","ACV-0000175492","M","0","","Major","Driver","Impairment Not Known","South","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085757","ACV-0000175493","M","54","","Moderate","Driver","Had Been Drinking - Under Influence","South","Proceeding Straight","Car","Unknown","1","22107","Unsafe Turn Movement"
"CR-0000085758","ACV-0000175494","","0","","Unknown","Driver","Impairment Not Known","East","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085758","ACV-0000175495","F","46","","Minor","Driver","Had Not Been Drinking","East","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085759","ACV-0000175496","F","47","","Moderate","Driver","Impairment Not Known","West","Proceeding Straight","Motorcycle/Moped","None Apparent","1","21703","Follow Too Closely"
"CR-0000085759","ACV-0000175497","M","26","","None","Driver","Impairment Not Known","West","Stopped","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085760","ACV-0000175498","M","29","","Major","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","Unknown","1","22350","Speeding"
"CR-0000085760","ACV-0000175499","M","23","","Major","Driver","Had Not Been Drinking","East","Making Left Turn","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085761","ACV-0000175500","","0","","Minor","Driver","Impairment Not Known","North","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085761","ACV-0000175501","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085761","ACV-0000175502","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085762","ACV-0000175503","","0","","Unknown","Driver","Impairment Not Known","South","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085762","ACV-0000175504","M","46","","Moderate","Driver","Had Not Been Drinking","South","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085763","ACV-0000175505","M","19","","Moderate","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","21453","Run Red Light"
"CR-0000085764","ACV-0000175506","M","0","","Major","Driver","Impairment Not Known","North","Proceeding Straight","Car","Other Violation","1","21658","Unsafe Lane Change"
"CR-0000085764","ACV-0000175507","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085764","ACV-0000175508","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Motorcycle/Moped","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085765","ACV-0000175509","F","39","","Moderate","Driver","Under Drug Influence","North","Traveling Wrong Way","Car","Other Violation","1","23152","Driving Drunk"
"CR-0000085765","ACV-0000175510","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085765","ACV-0000175511","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085766","ACV-0000175512","M","27","","Moderate","Driver","Impairment Not Known","North","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085767","ACV-0000175513","F","50","","Moderate","Driver","Had Not Been Drinking","West","Changing Lanes","Car","Unknown","1","22107","Unsafe Turn Movement"
"CR-0000085767","ACV-0000175514","M","24","","Moderate","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085768","ACV-0000175515","","0","","Unknown","Driver","Impairment Not Known","North","Passing Other Vehicles","Car","Other Violation","1","21754","Pass"
"CR-0000085768","ACV-0000175516","M","45","","Moderate","Driver","Impairment Not Known","North","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085769","ACV-0000175517","M","18","","Minor","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085769","ACV-0000175518","F","43","","Minor","Driver","Had Not Been Drinking","East","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085770","ACV-0000175519","M","0","","Unknown","Driver","Impairment Not Known","South","Backing","Car","Other Violation","1","22106","Unsafe Backing"
"CR-0000085770","ACV-0000175520","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085773","ACV-0000175521","","0","","Moderate","Driver","Impairment Not Known","South","Proceeding Straight","Car","None Apparent","1","22350","Speeding"
"CR-0000085774","ACV-0000175522","M","53","","Not Applicable","Pedestrian","Impairment Not Known","North","Other (Ped)","Pedestrian","None Apparent","1","21955","Crossing Controlled Intersection/Jaywalking"
"CR-0000085774","ACV-0000175523","M","36","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085775","ACV-0000175524","","0","","Unknown","Driver","Impairment Not Known","East","Making Left Turn","Car","Other Violation","1","21801","Yield Left Turn"
"CR-0000085775","ACV-0000175525","M","21","","Major","Driver","Had Not Been Drinking","West","Proceeding Straight","Motorcycle/Moped","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085776","ACV-0000175526","F","29","","Major","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","21453","Run Red Light"
"CR-0000085776","ACV-0000175527","M","32","","Moderate","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085777","ACV-0000175528","F","70","","Moderate","Driver","Sleepy/Fatigued","North","Proceeding Straight","Car","Unknown","1","22350","Speeding"
"CR-0000085777","ACV-0000175529","M","33","","Moderate","Driver","Had Not Been Drinking","North","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085778","ACV-0000175530","","0","","Minor","Driver","Impairment Not Known","South","Making Left Turn","Car","Other Violation","1","Unknown","Unknown"
"CR-0000085778","ACV-0000175531","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085779","ACV-0000175532","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085779","ACV-0000175533","","0","","Moderate","Driver","Impairment Not Known","North","Proceeding Straight","Car","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000085780","ACV-0000175534","F","31","","Major","Driver","Had Not Been Drinking","West","Crossing Into Opposing Lane","Car","Inattention","1","21801","Yield Left Turn"
"CR-0000085781","ACV-0000175535","F","64","","Totaled","Driver","Impairment Not Known","South","Proceeding Straight","Car","Unknown","1","22350","Speeding"
"CR-0000085781","ACV-0000175536","M","50","","Moderate","Driver","Impairment Not Known","South","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085781","ACV-0000175537","M","43","","Moderate","Driver","Impairment Not Known","South","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085784","ACV-0000175543","M","22","","Moderate","Driver","Had Been Drinking - Under Influence","South","Making Left Turn","Car","Under Influence","1","22107","Unsafe Turn Movement"
"CR-0000085784","ACV-0000175544","M","34","","Minor","Driver","Had Not Been Drinking","North","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085782","ACV-0000175538","","0","","Unknown","Driver","Impairment Not Known","West","Making Left Turn","Car","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000085782","ACV-0000175539","M","41","","Unknown","Driver","Impairment Not Known","West","Making Left Turn","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085785","ACV-0000175547","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085783","ACV-0000175542","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085783","ACV-0000175540","F","83","","Minor","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","Unknown","1","22350","Speeding"
"CR-0000085783","ACV-0000175541","F","30","","Minor","Driver","Had Not Been Drinking","South","Slowing/Stopping","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085785","ACV-0000175545","M","34","","Major","Driver","Had Been Drinking - Under Influence","North","Merging","Car","Other Violation","1","23152","Driving Drunk"
"CR-0000085786","ACV-0000175549","F","17","","Major","Driver","Impairment Not Known","East","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085788","ACV-0000175552","","0","","Unknown","Driver","Had Not Been Drinking","South","Backing","Car","Other Violation","1","22106","Unsafe Backing"
"CR-0000085790","ACV-0000175557","F","55","","Moderate","Driver","Had Not Been Drinking","West","Stopped","Car","Stop And Go Traffic","1","Not Applicable","Not Applicable"
"CR-0000085785","ACV-0000175546","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085789","ACV-0000175555","M","70","","Not Applicable","Pedestrian","Had Not Been Drinking","South","Other (Ped)","Pedestrian","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085786","ACV-0000175548","F","27","","Major","Driver","Impairment Not Known","East","Proceeding Straight","Car","Unknown","1","21453","Run Red Light"
"CR-0000085788","ACV-0000175553","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085789","ACV-0000175554","M","60","","None","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","None Apparent","1","21950","Yield Pedestrian In Crosswalk"
"CR-0000085787","ACV-0000175550","","0","","Minor","Driver","Impairment Not Known","North","Backing","Semi Truck","Other Violation","1","22106","Unsafe Backing"
"CR-0000085787","ACV-0000175551","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085791","ACV-0000175558","","0","","Major","Driver","Impairment Not Known","South","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085790","ACV-0000175556","F","36","","Minor","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Stop And Go Traffic","1","22350","Speeding"
"CR-0000085792","ACV-0000175560","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085794","ACV-0000175564","F","17","","Not Applicable","Bicycle","Had Not Been Drinking","North","Proceeding Straight","Bicycle","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085796","ACV-0000175568","F","45","","Moderate","Driver","Had Not Been Drinking","West","Stopped","Car","Unknown","1","Unknown","Unknown"
"CR-0000085793","ACV-0000175561","F","47","","Unknown","Driver","Impairment Not Known","Unknown","Stopped","Car","Unknown","1","Unknown","Unknown"
"CR-0000085795","ACV-0000175566","M","25","","Major","Driver","Impairment Not Known","West","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085792","ACV-0000175559","F","23","","Unknown","Driver","Had Not Been Drinking","East","Proceeding Straight","Motorcycle/Moped","Other Violation","1","22350","Speeding"
"CR-0000085794","ACV-0000175563","M","65","","None","Driver","Had Not Been Drinking","East","Stopped","Car","None Apparent","1","21804","Yield From Driveway/Curb"
"CR-0000085796","ACV-0000175567","M","0","","Unknown","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","Unknown","Unknown"
"CR-0000085793","ACV-0000175562","","0","","Unknown","Driver","Impairment Not Known","Unknown","Merging","Panel Truck","Unknown","1","Unknown","Unknown"
"CR-0000085795","ACV-0000175565","F","64","","Major","Driver","Impairment Not Known","East","Making Left Turn","Car","Speeding","1","21453","Run Red Light"
"CR-0000085797","ACV-0000175569","M","43","","Not Applicable","Bicycle","Impairment Not Known","South","Traveling Wrong Way","Bicycle","None Apparent","1","22350","Speeding"
"CR-0000085798","ACV-0000175572","F","8","","Not Applicable","Pedestrian","Not Applicable","South","Other (Ped)","Pedestrian","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085800","ACV-0000175576","M","68","","Minor","Driver","Had Not Been Drinking","West","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085803","ACV-0000175580","M","32","","Major","Driver","Impairment Not Known","South","Proceeding Straight","Car","Unknown","1","22350","Speeding"
"CR-0000085797","ACV-0000175570","M","31","","Minor","Driver","Impairment Not Known","West","Entering Traffic","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085799","ACV-0000175574","F","36","","Minor","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085802","ACV-0000175578","","0","","Unknown","Driver","Impairment Not Known","Unknown","Unknown","Unknown","Other Violation","1","22350","Speeding"
"CR-0000085798","ACV-0000175571","F","28","","None","Driver","Had Not Been Drinking","North","Making Left Turn","Car","Inattention","1","21950","Yield Pedestrian In Crosswalk"
"CR-0000085800","ACV-0000175575","F","42","","Moderate","Driver","Had Been Drinking - Under Influence","West","Proceeding Straight","Car","Unknown","1","22350","Speeding"
"CR-0000085802","ACV-0000175579","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085799","ACV-0000175573","M","34","","Minor","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","Inattention","1","21453","Run Red Light"
"CR-0000085801","ACV-0000175577","","0","","Minor","Driver","Impairment Not Known","East","Unknown","Car","Unknown","1","Unknown","Unknown"
"CR-0000085803","ACV-0000175581","M","43","","Minor","Driver","Had Not Been Drinking","South","Proceeding Straight","Other","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085804","ACV-0000175583","M","47","","Not Applicable","Pedestrian","Had Not Been Drinking","Not Applicable","Other (Ped)","Pedestrian","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085805","ACV-0000175587","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085804","ACV-0000175584","F","31","","Moderate","Driver","Had Not Been Drinking","South","Stopped","Emergency Vehicle","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085806","ACV-0000175588","F","44","","Minor","Driver","Had Not Been Drinking","South","Entering Traffic","Car","Unknown","1","21804","Yield From Driveway/Curb"
"CR-0000085808","ACV-0000175592","","0","","Unknown","Driver","Impairment Not Known","West","Proceeding Straight","Panel Truck","Other Violation","1","22350","Speeding"
"CR-0000085804","ACV-0000175582","M","62","","Moderate","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085805","ACV-0000175586","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085807","ACV-0000175590","F","44","","Minor","Driver","Had Not Been Drinking","West","Making U-Turn","Car","None Apparent","1","22103","Unsafe U-Turn"
"CR-0000085805","ACV-0000175585","M","39","","Major","Driver","Had Been Drinking - Under Influence","South","Other Unsafe Turning","Car","Under Influence","1","22350","Speeding"
"CR-0000085806","ACV-0000175589","M","28","","None","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085808","ACV-0000175593","M","34","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085809","ACV-0000175596","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085810","ACV-0000175600","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085813","ACV-0000175604","M","28","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085807","ACV-0000175591","M","55","","Minor","Driver","Had Not Been Drinking","West","Proceeding Straight","Motorcycle/Moped","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085809","ACV-0000175595","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085810","ACV-0000175599","M","44","","None","Driver","Had Not Been Drinking","North","Backing","Other","None Apparent","1","22106","Unsafe Backing"
"CR-0000085809","ACV-0000175594","","0","","Moderate","Driver","Impairment Not Known","North","Proceeding Straight","Panel Truck","Other Violation","1","21658","Unsafe Lane Change"
"CR-0000085809","ACV-0000175598","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","Unknown","1","Unknown","Unknown"
"CR-0000085811","ACV-0000175602","M","25","","Minor","Driver","Had Not Been Drinking","West","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085809","ACV-0000175597","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085811","ACV-0000175601","","0","","Unknown","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085813","ACV-0000175605","F","53","","Minor","Driver","Had Not Been Drinking","East","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085812","ACV-0000175603","M","59","","Minor","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","Other","1","22350","Speeding"
"CR-0000085814","ACV-0000175607","M","39","","Moderate","Driver","Impairment Not Known","East","Proceeding Straight","Panel Truck","Other Violation","1","22350","Speeding"
"CR-0000085815","ACV-0000175611","M","69","","Moderate","Driver","Had Not Been Drinking","East","Stopped","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085814","ACV-0000175608","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","Other Violation","1","Not Applicable","Not Applicable"
"CR-0000085816","ACV-0000175612","F","0","","Moderate","Driver","Impairment Not Known","East","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085818","ACV-0000175616","","0","","Unknown","Driver","Impairment Not Known","Unknown","Unknown","Unknown","Unknown","1","Unknown","Unknown"
"CR-0000085813","ACV-0000175606","M","61","","Moderate","Driver","Had Not Been Drinking","East","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085815","ACV-0000175610","M","24","","Major","Driver","Had Not Been Drinking","West","Proceeding Straight","Motorcycle/Moped","Uninvolved Vehicle","1","23103","Reckless Driving 2"
"CR-0000085816","ACV-0000175614","","0","","Minor","Driver","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085814","ACV-0000175609","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085816","ACV-0000175613","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085818","ACV-0000175617","","0","","Unknown","Parked","Not Applicable","Not Applicable","Unknown","Car","Unknown","1","Unknown","Unknown"
"CR-0000085819","ACV-0000175618","","0","","Major","Driver","Impairment Not Known","East","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000085821","ACV-0000175622","F","28","","None","Driver","Impairment Not Known","West","Other Unsafe Turning","Panel Truck","Unknown","1","22107","Unsafe Turn Movement"
"CR-0000085823","ACV-0000175626","M","58","","None","Pedestrian","Had Been Drinking - Impairment Unknown","North","Proceeding Straight","Pedestrian","Unknown","1","21955","Crossing Controlled Intersection/Jaywalking"
"CR-0000085820","ACV-0000175620","M","0","","Unknown","Driver","Impairment Not Known","South","Backing","Car","Unknown","1","Unknown","Unknown"
"CR-0000085822","ACV-0000175625","M","14","","Not Applicable","Bicycle","Impairment Not Known","North","Proceeding Straight","Bicycle","Unknown","1","21200","Laws Applied To Bike"
"CR-0000085824","ACV-0000175628","M","36","","Minor","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Inattention","1","Not Applicable","Not Applicable"
"CR-0000085817","ACV-0000175615","M","33","","Major","Driver","Had Been Drinking - Under Influence","South","Making Right Turn","Car","Under Influence","1","22100","Improper Turn"
"CR-0000085819","ACV-0000175619","M","27","","Major","Driver","Had Not Been Drinking","South","Making Left Turn","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085821","ACV-0000175623","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085820","ACV-0000175621","F","24","","Unknown","Driver","Impairment Not Known","North","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085822","ACV-0000175624","","0","","Unknown","Driver","Impairment Not Known","West","Merging","Car","Entering/Leaving Ramp","1","21950","Yield Pedestrian In Crosswalk"
"CR-0000085824","ACV-0000175629","F","19","","Not Applicable","Pedestrian","Had Not Been Drinking","North","Other (Ped)","Pedestrian","Inattention","1","21955","Crossing Controlled Intersection/Jaywalking"
"CR-0000085825","ACV-0000175630","M","28","","Minor","Driver","Had Not Been Drinking","South","Making Left Turn","Panel Truck","None Apparent","1","21801","Yield Left Turn"
"CR-0000085827","ACV-0000175634","F","48","","Major","Driver","Had Not Been Drinking","East","Traveling Wrong Way","Car","None Apparent","1","22107","Unsafe Turn Movement"
"CR-0000085829","ACV-0000175638","M","48","","Moderate","Driver","Had Not Been Drinking","North","Proceeding Straight","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000085826","ACV-0000175633","M","56","","Not Applicable","Bicycle","Had Been Drinking - Not Under Influence","West","Proceeding Straight","Bicycle","None Apparent","1","Not Applicable","Not Applicable"
