"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment"
"677017","CR-0000086157","1","0","0","0","21-081-1059","False","False","0","3/22/2021 11:18:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677018","CR-0000086158","1","0","0","0","21-082-0114","False","False","0","3/23/2021 6:26:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677019","CR-0000086159","0","0","0","0","21-084-9708","False","True","","3/23/2021 1:25:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Broadside","Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"677020","CR-0000086160","1","0","0","0","21-082-0270","False","False","0","3/23/2021 10:02:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677021","CR-0000086161","2","0","0","0","21-082-0375","False","False","0","3/23/2021 11:39:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Head On","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677022","CR-0000086162","0","0","0","0","21-082-0748","False","False","50","3/23/2021 6:23:00 PM","No Pedestrians Involved","Unknown","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"677023","CR-0000086163","1","0","0","0","21-082-0151","False","False","","3/23/2021 7:45:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Unknown","Clear","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
"677024","CR-0000086164","0","1","0","0","21-082-0777","False","False","0","3/23/2021 6:50:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677025","CR-0000086165","0","0","1","0","21-082-0826","False","False","0","3/23/2021 7:49:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Bike At Fault","Controls Functioning","Clear","Vehicle/Bike","Intersection","Bike","Not Applicable","Not Applicable","At",""
"677026","CR-0000086166","1","0","0","0","21-082-0929","False","False","0","3/23/2021 10:32:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677027","CR-0000086167","1","0","0","0","21-082-0847","False","False","0","3/23/2021 8:51:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677028","CR-0000086168","0","0","0","0","21-086-9704","False","True","","3/24/2021 4:25:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","North Of",""
"677029","CR-0000086169","0","1","0","0","21-083-0131","False","False","265","3/24/2021 5:40:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Motorcycle","Not Applicable","Not Applicable","North Of",""
"677030","CR-0000086170","1","0","0","0","21-083-0745","False","False","0","3/24/2021 5:20:00 PM","Crossing In Crosswalk - At Intersection","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Vehicle/Pedestrian","Intersection","Pedestrian","North","South","At",""
"677031","CR-0000086171","1","0","0","0","21-083-0899","False","False","0","3/24/2021 8:02:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Head On","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677032","CR-0000086172","0","0","0","0","21-084-0144","False","False","51","3/25/2021 6:23:00 AM","No Pedestrians Involved","Dry","Unknown","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"677033","CR-0000086173","0","0","0","0","21-084-9706","False","False","51","3/25/2021 11:09:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Unknown","No Controls Present/Factor","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"677034","CR-0000086174","0","0","0","0","21-084-0065","False","False","240","3/25/2021 1:55:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Unknown","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
"677035","CR-0000086175","0","0","0","0","21-084-0073","True","False","70","3/25/2021 2:13:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","North Of","Light pole"
"677036","CR-0000086176","0","0","0","0","21-084-0123","False","False","180","3/25/2021 5:10:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of",""
"677037","CR-0000086177","0","0","0","0","21-084-0126","False","False","185","3/25/2021 7:27:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"677038","CR-0000086178","0","0","0","0","21-084-0280","False","False","99","3/25/2021 9:23:00 AM","No Pedestrians Involved","Unknown","Unknown","Daylight","Unknown","Unknown","Unknown","Other","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"677039","CR-0000086179","0","0","0","0","21-084-0517","False","False","","3/25/2021 1:34:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"677040","CR-0000086180","0","0","0","0","21-084-0499","False","False","306","3/25/2021 2:06:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Non-Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"677041","CR-0000086181","1","0","0","0","21-084-0701","False","False","0","3/25/2021 4:37:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677042","CR-0000086182","0","0","0","0","21-084-0778","False","False","114","3/25/2021 5:39:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"677043","CR-0000086183","0","0","0","0","21-084-0960","False","False","49","3/25/2021 9:04:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Unknown","No Controls Present/Factor","Clear","Head On","Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"677044","CR-0000086184","0","0","0","0","21-084-0988","True","False","190","3/25/2021 9:56:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","South Of","Light pole"
"677045","CR-0000086185","2","0","0","0","21-085-0163","False","False","0","3/26/2021 7:24:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677046","CR-0000086186","2","0","0","0","21-085-0248","False","False","180","3/26/2021 9:24:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"677047","CR-0000086187","0","0","0","0","21-085-9728","False","True","","3/26/2021 11:50:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"677048","CR-0000086188","0","0","0","0","21-085-0805","False","False","100","3/26/2021 7:15:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of","See also TCR#21-085-0786"
"677049","CR-0000086189","0","0","0","0","21-085-0786","False","False","51","3/26/2021 7:19:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","Controls Functioning","Clear","Broadside","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of","See also TCR#21-085-0805"
"677050","CR-0000086190","0","0","0","0","21-086-0024","True","False","0","3/27/2021 12:16:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Intersection","Fixed Object","Not Applicable","Not Applicable","At","Median"
"677051","CR-0000086191","0","1","0","0","21-086-0102","False","False","66","3/27/2021 1:40:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","West Of","PG&E pole"
"677052","CR-0000086192","1","0","0","0","21-086-0217","False","False","0","3/27/2021 6:35:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Unknown","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","One of the drivers violated 21453 but undetermined who."
"677053","CR-0000086193","0","0","0","0","21-088-9710","False","True","","3/27/2021 1:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"677054","CR-0000086194","0","0","0","1","21-095-0529","False","False","","4/5/2021 4:26:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Vehicle/Bike","Related","Bike","Not Applicable","Not Applicable","East Of","Awaiting TIU report for further information"
"677055","CR-0000086195","0","0","0","0","21-086-0888","False","False","","3/27/2021 7:45:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"677056","CR-0000086196","0","0","1","0","21-086-0911","False","False","303","3/27/2021 8:08:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Vehicle/Bike","Non-Related","Bike","Not Applicable","Not Applicable","North Of",""
"677057","CR-0000086197","0","1","0","0","21-086-0281","True","False","1042","3/27/2021 8:57:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","South Of","Cement Bollards"
"677058","CR-0000086198","0","0","0","0","21-087-0024","True","False","136","3/28/2021 1:05:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Unknown","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","West Of","Curb, pole, wall"
"677059","CR-0000086199","0","0","0","0","21-089-0581","False","False","51","3/28/2021 2:17:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"677060","CR-0000086200","0","0","0","0","21-087-0204","False","False","30","3/28/2021 7:35:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Other","Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"677061","CR-0000086201","1","0","0","0","21-087-0228","False","False","475","3/28/2021 8:30:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"677062","CR-0000086202","1","0","0","0","21-087-0266","False","False","197","3/28/2021 9:32:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Motorcycle","Not Applicable","Not Applicable","North Of",""
"677063","CR-0000086203","1","0","0","0","21-087-0252","True","False","123","3/28/2021 10:01:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Cloudy","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","North Of","Light pole and fire hydrant"
"677064","CR-0000086204","0","1","0","0","21-087-0385","False","False","52","3/28/2021 12:06:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of",""
"677065","CR-0000086205","0","0","0","0","21-087-0388","False","False","80","3/28/2021 12:10:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Hit Object","Non-Related","Other Object","Not Applicable","Not Applicable","South Of","Small wooden box"
"677066","CR-0000086206","0","0","0","0","21-087-0550","False","False","20","3/28/2021 2:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Related","Parked Vehicle","Not Applicable","Not Applicable","North Of",""
"677067","CR-0000086207","0","0","0","0","21-087-0569","False","False","51","3/28/2021 3:49:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"677068","CR-0000086208","0","1","0","0","21-087-0498","True","False","101","3/28/2021 4:11:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","East Of","Fence of the deadend, trees and bushes"
"677069","CR-0000086209","1","0","0","0","21-087-0706","True","False","260","3/28/2021 5:48:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","East Of","Tree"
"677070","CR-0000086210","0","0","0","0","21-087-0843","True","False","180","3/28/2021 8:17:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of","Tree"
"677071","CR-0000086211","0","0","0","0","21-087-0887","True","False","0","3/28/2021 9:02:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Intersection","Fixed Object","Not Applicable","Not Applicable","At","Stop sign"
"677072","CR-0000086212","0","0","0","0","21-087-0985","False","False","51","3/28/2021 10:48:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","Unknown",""
"677073","CR-0000086213","0","0","0","0","21-088-0096","False","False","50","3/29/2021 2:30:00 AM","No Pedestrians Involved","Dry","Unknown","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"677074","CR-0000086214","0","0","0","0","21-088-0341","False","False","215","3/29/2021 10:17:00 AM","No Pedestrians Involved","Dry","Unknown","Daylight","Other Than Driver","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","South Of","PG&E pole"
"677075","CR-0000086215","0","1","0","0","21-088-0358","False","False","68","3/29/2021 10:30:00 AM","No Pedestrians Involved","Dry","Construction - Repair Zone","Daylight","Bike At Fault","No Controls Present/Factor","Clear","Vehicle/Bike","Non-Related","Bike","Not Applicable","Not Applicable","North Of",""
"677076","CR-0000086216","0","0","0","0","21-088-0577","True","False","51","3/29/2021 2:05:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","South Of","Street sign"
"677077","CR-0000086217","0","0","0","0","21-088-0755","False","False","63","3/29/2021 5:17:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Other","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"677078","CR-0000086218","0","0","0","0","21-088-1030","True","False","288","3/29/2021 11:43:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","North Of","Light pole"
"677079","CR-0000086219","0","0","0","0","21-090-4000","True","True","51","3/30/2021 4:00:00 PM","No Pedestrians Involved","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Other","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of","Tree"
"677080","CR-0000086220","0","0","0","0","21-089-4000","False","True","51","3/30/2021 2:30:00 AM","No Pedestrians Involved","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"677081","CR-0000086221","0","1","0","0","21-089-0196","False","False","585","3/30/2021 8:24:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"677082","CR-0000086222","1","0","0","0","21-089-0538","False","False","192","3/30/2021 1:48:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
"677083","CR-0000086223","0","0","0","0","21-089-0960","True","False","0","3/30/2021 9:39:00 PM","No Pedestrians Involved","Dry","Unknown","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Hit Object","Intersection","Fixed Object","Not Applicable","Not Applicable","At","Curb, building"
"677084","CR-0000086224","0","0","0","0","21-090-0256","False","False","0","3/31/2021 7:56:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677085","CR-0000086225","2","0","0","0","21-090-0290","False","False","0","3/31/2021 9:36:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Head On","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677086","CR-0000086226","1","0","0","0","21-090-0341","False","False","20","3/31/2021 10:30:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
"677087","CR-0000086227","0","0","0","0","21-090-0541","False","False","0","3/31/2021 1:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Other Improper Driving","Controls Functioning","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677088","CR-0000086228","1","0","0","0","21-090-0679","False","False","0","3/31/2021 4:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Vehicle/Bike","Intersection","Bike","Not Applicable","Not Applicable","At",""
"677089","CR-0000086229","0","0","0","0","21-090-0778","False","False","60","3/31/2021 5:14:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Non-Related","Motor Vehicle On Other Roadway","Not Applicable","Not Applicable","East Of",""
"677090","CR-0000086230","1","1","0","0","21-090-1111","False","False","510","3/31/2021 10:42:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of",""
"677091","CR-0000086231","0","0","0","0","21-096-9708","False","True","0","2/26/2021 1:30:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Unknown","Controls Functioning","Clear","Head On","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677092","CR-0000086232","0","0","0","0","21-086-0723","False","False","0","3/27/2021 4:23:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Head On","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677093","CR-0000086233","0","1","0","0","21-087-0612","False","False","0","3/28/2021 4:29:00 PM","Crossing In Crosswalk - At Intersection","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Vehicle/Pedestrian","Intersection","Skateboard","West","East","At",""
"677094","CR-0000086234","1","0","0","0","21-088-0208","False","False","0","3/29/2021 8:10:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677095","CR-0000086235","0","0","0","0","21-096-9703","False","True","","3/31/2021 7:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"677096","CR-0000086236","1","0","0","0","21-090-0665","False","False","0","3/31/2021 3:49:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677097","CR-0000086237","0","0","0","0","21-092-0032","False","False","166","4/1/2021 11:23:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of",""
"677098","CR-0000086238","0","0","1","0","21-091-0141","False","False","0","4/1/2021 5:31:00 AM","Crossing - Not In Crosswalk","Dry","No Unusual Conditions","Dark - Street Light","Pedestrian At Fault","Controls Functioning","Clear","Vehicle/Pedestrian","Intersection","Pedestrian","North","South","At",""
"677099","CR-0000086239","0","0","0","0","21-091-0628","False","False","20","4/1/2021 3:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
"677100","CR-0000086240","0","1","0","0","21-091-0809","False","False","0","4/1/2021 6:11:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677101","CR-0000086241","1","0","0","0","21-091-0938","False","False","112","4/1/2021 8:23:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"677102","CR-0000086242","0","0","0","0","21-091-0943","False","False","0","4/1/2021 9:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677103","CR-0000086243","2","0","0","0","21-091-0946","False","False","0","4/1/2021 8:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677104","CR-0000086244","0","1","0","1","21-091-1019","False","False","66","4/1/2021 9:45:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Bike At Fault","Controls Functioning","Clear","Vehicle/Bike","Non-Related","Bike","Not Applicable","Not Applicable","East Of","MC vs bike. Delayed fatal - 04/21/2021"
"677105","CR-0000086245","0","1","0","0","21-091-1047","False","False","445","4/1/2021 10:47:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of",""
"677106","CR-0000086246","0","0","0","0","21-096-9707","False","True","","4/1/2021 6:00:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Unknown","No Controls Present/Factor","Clear","Broadside","Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"677107","CR-0000086247","0","0","0","0","21-092-0017","False","False","0","4/2/2021 12:17:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - No Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Intersection","Parked Vehicle","Not Applicable","Not Applicable","At","See also TCR# 21-092-0041"
"677108","CR-0000086248","0","0","0","0","21-092-0041","False","False","263","4/2/2021 12:47:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of","See also TCR# 21-092-0017"
"677109","CR-0000086249","0","0","0","0","21-092-0312","False","False","70","4/2/2021 10:07:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"677110","CR-0000086250","0","0","0","0","21-092-1088","False","False","116","4/2/2021 11:16:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"677111","CR-0000086251","0","1","0","0","21-092-1100","False","False","166","4/2/2021 11:31:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"677112","CR-0000086252","0","0","0","0","21-092-0245","False","False","30","4/2/2021 8:54:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Overturned","Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
